Language Name	porn	unnatural	lang correct
Arabic	0 (---)	9 (5-13)	100 (---)
Asturian	0 (---)	28 (22-35)	69 (62-75)
Bengali	1 (---)	0 (---)	100 (---)
Catalan	0 (---)	14 (9-19)	99 (---)
Chinese	0 (---)	25 (18-31)	99 (---)
Czech	0 (---)	9 (4-13)	100 (---)
Dutch	1 (---)	5 (---)	100 (---)
English	1 (---)	13 (8-18)	100 (---)
Finnish	1 (---)	4 (---)	100 (---)
German	1 (---)	2 (---)	98 (---)
Hindi	2 (---)	2 (---)	98 (---)
Iranian Persian	0 (---)	25 (18-31)	99 (---)
Marathi	0 (---)	6 (---)	97 (---)
Modern Greek (1453-)	0 (---)	3 (---)	100 (---)
Norwegian Bokmål	2 (---)	8 (4-11)	99 (---)
Norwegian Nynorsk	0 (---)	3 (---)	93 (---)
Polish	1 (---)	7 (3-11)	100 (---)
Russian	2 (1-3)	18 (15-21)	98 (---)
Scottish Gaelic	0 (---)	3 (---)	89 (85-93)
Slovak	0 (---)	10 (6-14)	100 (---)
Spanish	1 (---)	9 (5-13)	100 (---)
Turkish	6 (---)	10 (5-14)	99 (---)
